"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","P/M/S","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","丙胺酸(Ala)","乳糖","亞麻油酸(18:2)","修正熱量","其他脂肪酸","十七酸(17:0)","十三酸(13:0)","十九酸(19:0)","十五酸(15:0)","十八碳四烯酸(18:4)","半乳糖","反式脂肪","天門冬胺酸(Asp)","山酸(22:0)","己酸(6:0)","廿二碳五烯酸(22:5)","廿二碳六烯酸(22:6)","廿四酸(24:0)","廿碳五烯酸(20:5)","月桂酸(12:0)","果糖","棕櫚烯酸(16:1)","棕櫚酸(16:0)","次亞麻油酸(18:3)","水分","水解胺基酸總量","油酸(18:1)","灰分","熱量","甘胺酸(Gly)","甲硫胺酸(Met)","異白胺酸(Ile)","癸酸(10:0)","白胺酸(Leu)","硬脂酸(18:0)","磷","視網醇","視網醇當量(RE)","粗脂肪","粗蛋白","精胺酸(Arg)","糖質總量","組胺酸(His)","絲胺酸(Ser)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","總碳水化合物","纈胺酸(Val)","肉豆蔻烯酸(14:1)","肉豆蔻酸(14:0)","胱胺酸(Cys)","脂肪酸M總量","脂肪酸P總量","脂肪酸S總量","脯胺酸(Pro)","膳食纖維","膽固醇","色胺酸(Trp)","芥子酸(22:1)","花生油酸(20:4)","花生酸(20:0)","苯丙胺酸(Phe)","菸鹼素","葉酸","葡萄糖","蔗糖","辛酸(8:0)","酒精含量","酥胺酸(Thr)","酪胺酸(Tyr)","酪酸(4:0)","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵","離胺酸(Lys)","飽和脂肪","鱈烯酸(20:1)","麥芽糖","麩胺酸(Glu)"
"加工調理食品及其他類","樣品基本資料","R2300301","冷凍芋泥包","","Taro paste bun","冷凍包裝,混合均勻打碎(麵粉,芋頭等)",0,0,0.52,0.76,0,0.28,4,0.91,0.4,207,0,1056,258,0,2,0,0,1,0,0,25.47,337,8,0,0,0,1,0,46,1,8,1021,104,38.2,6518,1028,0.5,263,236,55,239,7,457,197,223,0,1,3.6,6.6,264,11.6,148,288,6,0.06,0,0.06,0.07,0,0,0,0,0,2.1,0,0,0,51.1,274,0,51,203,1043,1160,1351,790,2.4,0,45,3,0,12,312,0.56,22.8,1,8.1,5,0,180,192,0,46,16,130,0,0.7,0,18,0.5,181,1.4,4,1.5,2110
"加工調理食品及其他類","樣品基本資料","R2300501","冷凍芝麻包","","Sesame bun","冷凍包裝,混合均勻打碎(麵粉,芝麻粉等)",NA,0,0.78,12.68,0,23.5,0,1.41,0.14,242,0,2716,340,27,43,0,0,21,0,0,28.01,334,14,0,0,0,7,0,50,0.9,88,2977,59,28.8,7145,4435,0.6,341,268,126,226,4,493,1035,321,0,0,11.7,7.2,362,11.4,159,353,0,0.05,0,0.07,0.02,1.3,0,0,0,0,25.83,0,0,0,51.7,271,0,150,17,4535,2775,4355,828,0.6,9,73,0,0,48,352,0.7,0,0.9,8.5,6,0,207,226,0,24,4,139,0,0.7,0,20,1.1,153,4.4,13,1,2455
"加工調理食品及其他類","樣品基本資料","R2100401","擔仔麵","","","熟食,加肉燥不含湯,混合均勻打碎",NA,0,0.13,0.17,0,0.01,0,0.38,0.05,166,0,1196,119,0,0,0,0,3,0,0,0,311,0,0,18,21,0,4,6,0,140,1476,93,76.3,4404,2622,0.9,124,188,52,135,8,255,740,31,3,3,6.5,4.4,213,0,103,175,10,0.03,0.33,0.07,0.12,0,0,0,0,0,0.57,0,0,0,11.9,165,0,87,110,2816,1348,2335,399,2.5,10,42,0,17,15,181,0.7,9,0,0,0,0,121,125,0,312,6,83,0,0.4,0,12,1.3,152,2.3,55,0,1511
"堅果及種子類","樣品基本資料","C2300101","生鮮蓮子","","Lotus nut; Lotus seed","生鮮,混合均勻打碎(蓮子,蓮子心等)",NA,0,0.16,0.21,0,0.04,0,0.39,0,401,0,292,124,3,0,0,0,0,0,0,0,932,18,0,0,0,4,0,0,0,3,127,31,63.2,8537,50,1.4,141,417,69,368,0,600,6,290,0,0,0.5,9.3,752,0,228,534,0,0.05,0,0.02,0.07,2.3,0,0,0,0,0.58,0,0,0,25.6,454,0,3,159,55,323,165,273,8,0,0,0,0,6,392,0.4,24.6,0,0,0,0,327,303,0,119,69,305,0,1.2,0,99,5.1,492,0.2,2,0,1836
"糕餅點心類","樣品基本資料","Q4200201","洋芋片","","Potato chips","熟食,混合均勻打碎",NA,0,12.05,12.47,0,0,0,4.07,0.45,170,0,10605,549,0,12,0,0,5,0,0,63.24,1091,40,9,0,0,32,0,47,0.1,122,11088,82,1.9,4602,10578,2.8,553,122,45,150,0,213,1231,137,0,0,34.3,5.2,255,1.9,112,160,0,0.23,0,0.03,0.54,0,0,0,0,0,16.57,0,0,0,55.8,251,0,246,87,10810,10687,12845,171,2.2,0,56,0,0,130,186,2.3,7,0.1,1.7,5,0,146,169,0,383,17,817,0,0.5,0,57,1.7,242,12.8,110,0,976
"糕餅點心類","樣品基本資料","Q0700201","泡芙(巧克力)","","Chocolate puff","熟食,混合均勻打碎(麵粉,雞蛋等)",NA,0,3.26,3.46,0,0,14,1.9,0.18,497,1.7,3190,585,15,30,0,0,20,0,0,253.16,927,131,57,10,11,40,0,807,0,208,11635,195,1.4,11184,18830,1.7,590,342,61,518,156,934,3653,252,202,204,40.4,10.3,501,21.6,258,683,697,0.1,0.06,0.41,0.11,0,0,0,0,0,5.34,0,0,0,46.2,633,10,760,403,19307,3452,17635,940,2.1,146,142,46,46,202,517,0.4,16,0,19.9,145,0,471,374,0,146,167,332,0,1.4,0,46,1.6,668,17.6,212,0,2315
"加工調理食品及其他類","樣品基本資料","R2100201","泡麵(牛肉口味)","","Instant noodle","混合均勻打碎(麵粉,調味料等)",0,0,2.55,2.93,20,0.23,165,2.41,0.92,339,0,2278,470,19,23,0,0,10,0,0,189.06,384,9,0,0,0,9,0,112,0,134,10083,76,6.9,9835,9553,5.4,473,340,115,307,20,590,1684,115,0,29,24.5,9.6,328,1.6,182,392,292,0.24,0.17,0.13,0.2,0,0,0,0,0,6.11,0,0,0,53.6,358,0,346,366,9729,2353,12405,1093,1.8,0,97,0,0,80,416,0.7,9,0.4,0.8,28,0,236,260,0,2077,13,186,0,0.8,0,30,1.6,190,12.4,42,0.4,3842
"加工調理食品及其他類","樣品基本資料","R2700201","冷凍蔥油餅","蔥油派","","冷凍包裝,混合均勻打碎(麵粉,蔥,雞蛋等)",0,0,0.17,0.2,0,0.01,24,0.3,0.02,291,0,721,255,5,11,0,3,0,0,0,31.01,348,3,0,0,0,2,0,12,0.1,40,775,73,37.5,8603,1082,1.8,258,292,99,302,0,587,301,91,1,5,3.1,9.1,344,2.4,187,379,44,0.08,0.19,0.05,0.1,0.3,0,0,0,0,0.5,0,0,0,48.5,354,0,37,324,1122,794,1156,1044,1.3,9,82,0,0,10,413,0.63,18.5,0.2,0.7,0,0,223,256,0,602,8,88,0,0.5,0,21,1.3,194,1.2,0,1.4,2885
"加工調理食品及其他類","樣品基本資料","R2200301","冷凍豬肉韭菜水餃","","Dumpling: pork and leek","冷凍包裝,混合均勻打碎(麵粉,鮮肉,蔬菜等)",NA,0,0.01,0.22,0,0.41,0,0.02,0,321,0,2065,225,112,17,0,0,3,0,0,32.38,435,7,0,13,9,3,0,5,0.4,115,2635,133,54.6,7311,4797,2.5,229,327,120,277,5,509,1331,70,10,10,11.5,8.4,370,1.8,193,290,33,0.14,0.5,0.11,0.09,0.4,0,0,0,0,0.44,0,0,0,23,317,0,116,165,5020,2233,4151,712,1.8,31,85,13,13,29,333,3.2,0,0.5,0.5,0,0,231,224,0,439,18,154,0,0.6,0,17,0.7,328,4.2,95,0.4,2074
"堅果及種子類","樣品基本資料","C2350101","糖漬蓮子","","Lotus nut; Lotus seed","熟,混合均勻打碎(蓮子,糖等)",NA,0,0.3,0.36,0,0,0,0.57,0.02,163,0,0,223,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,41.9,3339,0,0.9,230,157,18,140,0,238,0,200,0,0,0.1,5.7,253,0,91,226,0,0.01,0,0.11,0.11,0.4,0,0,0,0,0.89,0,0,0,51.4,175,0,0,42,0,0,0,98,3.3,0,86,0,0,0,148,0.47,33.3,0,0,0,0,127,88,0,11,54,155,0,1,0,72,1.1,191,0,0,0,729
"加工調理食品及其他類","樣品基本資料","R2600201","冷凍披薩(黑胡椒火腿)","","Pizza","冷凍包裝,混合均勻打碎(麵粉,奶油等)",NA,0,0.76,0.92,65,0.17,233,0.66,0.15,334,0,646,206,0,28,0,0,51,0,0,0,651,0,112,0,0,0,0,172,0,72,1927,126,54.3,9379,2098,1.8,210,266,163,408,154,785,863,253,70,114,6.8,9.3,423,0,238,428,675,0.14,0.26,0.17,0.22,0,0,0,0,0,1.74,0,0,0,27.7,494,0,510,129,2170,772,3909,882,2,15,109,0,0,23,453,1.01,48,0,0,71,0,320,374,0,405,32,240,0,1,0,20,0.5,565,3.9,0,0,2359
"加工調理食品及其他類","樣品基本資料","R2200401","冷凍豬肉蟹黃水餃","","Dumpling","冷凍包裝,混合均勻打碎(豬肉,麵粉等)",NA,0,0.27,0.42,0,0.07,4,1.09,0.28,314,0,2525,221,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,161,1989,232,55,8359,3751,1.5,223,365,111,320,0,607,934,135,5,6,9.8,7.8,362,0,187,355,24,0.14,0.27,0.05,0.12,0,0,0,0,0,1.71,0,0,0,26,356,0,99,188,3985,2757,3048,839,1.4,17,75,0,0,26,400,1.03,28.1,0,0,0,0,247,236,0,472,8,119,0,0.7,0,22,0.6,311,3,73,0,2646
"糕餅點心類","樣品基本資料","Q6400501","薑糖","","Candy","混合均勻打碎(蔗糖,麥芽糖,生薑等)",NA,0,0.25,0.25,0,0,0,0,0,0,0,178,357,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,63,700,0,12.7,0,1082,0.5,359,0,0,0,0,0,331,19,0,0,2.5,0.3,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.25,0,0,0,84,0,0,64,0,1145,178,1137,0,1.1,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,93,1,95,0,0.3,0,10,0.8,0,1.1,0,0,0
"糕餅點心類","樣品基本資料","Q6900301","紅豆球","","","混合均勻打碎(紅豆,麥芽,砂糖等)",NA,0,0.13,0.2,0,0.01,0,0.61,0.05,314,0,0,338,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,12.7,6534,0,0.8,351,283,40,341,0,618,0,103,0,0,1,7.1,338,0,181,411,0,0,0,0.07,0.33,0,0,0,0,0,0.8,0,0,0,78.4,418,0,0,110,0,0,0,258,6.3,0,39,0,0,0,415,0.52,38.1,0,0,0,0,304,163,0,13,13,354,0,1.3,0,40,3.1,400,0,0,0,1050
"糕餅點心類","樣品基本資料","Q6900401","綠豆球","","","混合均勻打碎(綠豆,麥芽,砂糖等)",NA,0,0.1,0.22,0,0.04,0,0.98,0,258,0,0,333,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,13.9,5078,0,0.9,346,230,45,253,0,461,0,102,0,0,1.1,6.2,293,0,149,326,0,0.01,0,0.09,0.64,0,0,0,0,0,1.12,0,0,0,77.9,312,0,0,119,0,0,0,211,6.5,0,5,0,0,0,306,0.46,44.6,0,0,0,0,246,156,0,16,14,345,0,0.9,0,48,3.2,315,0,0,0,762
"加工調理食品及其他類","樣品基本資料","R2200501","冷凍香菇雞肉水餃","","Dumpling: marshroom, chicken","冷凍包裝,混合均勻打碎(雞肉,香菇,豬肉等)",NA,0,0.12,0.13,0,0,0,0.05,0,321,0,2235,216,0,32,0,0,0,0,0,0,477,8,0,18,23,0,9,8,0,182,2225,180,56.2,8087,3935,1.4,221,367,84,289,7,550,1113,83,15,15,10.2,9.5,328,0,186,332,50,0.03,0.26,0.09,0.17,0,0,0,0,0,0.17,0,0,0,22.7,325,0,117,186,4186,2484,3540,757,2.3,17,51,0,20,27,350,1.15,15.8,0,0,3,0,258,223,0,350,14,166,0,0.8,0,20,1.2,347,3.5,69,0,2657
"加工調理食品及其他類","樣品基本資料","R2200701","冷凍鮪魚水餃","","Dumpling: tuna","冷凍包裝,混合均勻打碎(麵粉,鮪魚,豬肉等)",NA,0,0.18,0.4,0,0.06,0,1.58,0.97,438,0,1626,193,0,29,0,0,0,0,0,0,651,0,0,18,24,0,0,6,0,160,2000,0,60.5,8736,3353,1.2,196,419,131,357,6,665,1037,102,10,10,8.5,9,450,0,380,370,34,0.09,0.45,0.04,0.25,0,0,0,0,0,2.79,0,0,0,20.8,390,0,109,168,3513,1685,3303,675,1.3,19,77,0,17,111,402,3.25,11.2,0,0,5,0,336,270,0,275,7,175,0,0.5,0,22,0.8,553,3.3,0,0,2004
"堅果及種子類","樣品基本資料","C1710201","鹽酥帶殼花生(熟)","土豆,長生果,落花生","Peanut with shell","熟,混合均勻打碎(帶殼花生,鹽等)",33.7,0,1.64,2.13,0,0.65,0,1.6,0.11,1034,0,13918,513,541,32,0,0,0,0,0,0,3584,1103,4,0,0,0,0,0,0,19,4685,21,2.3,28841,15518,3.2,531,1750,328,1042,0,1984,1257,423,0,0,38.1,28.2,3416,3.7,790,1447,0,0.58,0,0.15,0.35,0,0,0,0,0,4,0,0,0,28.1,1238,0,16,345,15918,13939,7669,1164,9,0,390,47,0,573,1477,15.43,120.9,0,3.7,0,0,689,1247,0,319,78,681,0,3.5,0,251,2.7,983,7.7,334,0,5931
"調味料及香辛料類","樣品基本資料","P1000501","義式乳酪醬","","","混合均勻(保久乳,乳酪,鮮奶油,麵粉,奶油,調味料,牛奶鈣, nisin,乳化安定劑等)",NA,0,0.49,0.49,0,0,81,0,0,278,2.8,286,209,13,141,37,0,232,0,0,0,612,24,361,23,0,12,13,657,0,355,5566,129,64.4,8846,3680,2.9,216,169,181,396,509,796,1894,307,177,190,17,8.8,286,2.8,269,464,724,0.07,0.47,0.4,0.01,0,0,0,0,0,0.49,0,0,0,6.9,529,169,2025,62,4216,476,12257,890,3.3,47,0,0,25,35,427,0.51,8.9,0,0,223,0,340,462,540,403,499,117,0,1.8,0,21,0.3,679,12.3,12,0,2005
"調味料及香辛料類","樣品基本資料","P1301101","法式香蒜醬","","","麵包醬,混合均勻(奶油,蒜,荷蘭芹,調味料等)",NA,0,4.94,6.09,0,0.19,492,10,1.67,19,0,14888,790,46,669,0,0,286,0,0,0,64,126,68,0,0,48,0,1619,0,1244,23534,1734,8.4,893,26782,1,791,18,4,13,293,23,10744,19,0,82,85.7,1.1,121,0,9,22,820,0.01,0.02,0,0.11,0,0,0,0,0,16.81,0,0,0,3.8,20,242,2368,7,28568,16642,40472,0,0.5,50,10,0,21,244,17,0.18,0.8,0,0,329,0,17,15,143,477,9,58,0,0.2,0,4,0.3,25,40.5,301,0,489
"魚貝類","樣品基本資料","J3100801","台灣蜆","蜆(蜊/拉)仔,河蜆","Corbicula Clam; Freshwater Clam; Taiwanese freshwater clam","生,去殼,混合均勻打碎",75,0,0.96,0.96,0,0,0,0,0,494,0,49,51,0,32,0,9,0,27,0,0,810,0,0,49,39,0,96,0,0,150,454,93,79.1,7596,144,0.8,51,419,165,371,0,601,84,137,48,48,1.4,8.9,510,0,185,344,161,0.01,84.16,0.4,0.1,9.9,0,0,0,0,0.96,0,0,0,9.8,409,0,50,122,388,423,629,351,0,55,78,0,69,0,352,1.97,32.3,0,0,0,0,447,314,0,20,58,57,0,1.5,0,14,2.4,600,0.6,94,0,1026
"魚貝類","樣品基本資料","J5100101","海蜇皮","瑝魚,海蛇,紅(面)蜇,鮓魚","Jelly fish","生,濕貨,混合均勻打碎",NA,0,0.02,0.02,0,0,0,0,0,257,0,0,19,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,70,4008,0,23.4,19,550,76,178,0,230,0,55,0,0,0,4.4,277,0,49,170,0,0,1.43,0.01,0,9.8,0,0,0,0,0.02,0,0,0,2.2,184,0,0,85,0,0,0,285,0,22,20,0,0,0,116,0.05,4.6,0,0,0,0,214,123,0,8127,31,153,0,1.2,0,163,2.6,277,0,0,0,497
"澱粉類","樣品基本資料","B0400301","芋心甘薯","甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯","Sweet potato","生鮮,芋心種,去皮,混合均勻打碎",14.5,0,0.14,0.14,0,0.01,0,0.01,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,69.4,0,0,0.9,122,0,0,0,0,0,0,45,0,0,0.1,1.1,0,4.3,0,0,0,0.02,0,0.04,0.12,20.1,0,0,0,0,0.16,0,0,0,28.5,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0.5,17.3,1.2,2.2,0,0,0,0,0,87,33,272,0,0.3,0,22,1.1,0,0,0,0,0
"蔬菜類","樣品基本資料","E9300101","過溝菜蕨","過貓(溝),過貓(溝)菜,蕨山貓,食用雙囊蕨","Common bracken","生鮮,混合均勻打碎",NA,0,0.34,0.39,0,0.09,1051,0.02,0.04,95,0,0,22,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,91.9,1826,0,1,27,109,31,83,0,153,0,70,0,175,0.8,3.1,97,0,57,109,1752,0,0,0.05,0.07,0.1,0,0,0,0,0.49,0,0,0,3.2,108,0,0,61,0,0,0,93,2.9,0,34,0,0,0,88,2.1,0,0,0,0,0,98,75,0,6,17,347,0,0.9,0,29,1.4,109,0,0,0,246
"蔬菜類","樣品基本資料","E3850101","梅乾菜","","","鹽漬發酵,混合均勻打碎",NA,0,3.57,3.76,0,0.35,4301,0.12,0.03,429,0,0,81,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,41.1,4804,0,31.4,105,255,47,201,0,301,0,70,0,717,1.1,5.5,103,0,69,225,7169,0.03,0,0.15,0.24,0,0,0,0,0,4.07,0,0,0,20.8,269,0,0,49,0,0,0,257,12.8,0,29,0,0,0,183,0.88,0,0,0,0,0,195,121,0,11555,381,820,0,1.7,0,59,35.6,254,0,0,0,1424
"蔬菜類","樣品基本資料","E7100101","黃櫛瓜","","Zucchini","生鮮,去頭尾,混合均勻打碎",6.7,0,0.11,0.17,0,0.1,0,0.06,0.01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0.7,15,0,0,0,0,0,0,41,0,0,0.1,1.5,0,0,0,0,0,0.04,0,0.05,0.08,16.3,0,0,0,0,0.28,0,0,0,2.7,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.33,9.5,0,0,0,0,0,0,0,0,25,365,0,0.4,0,18,0.6,0,0,0,0,0
"魚貝類","樣品基本資料","J0413401","鋸尾鯛","黑豬哥,黑將軍,打鐵婆,剝皮仔,老娘(澎湖)","Scalpel sawtail","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",60.9,0,1.4,1.4,0,0,0,0,0,1130,0,12,93,0,0,0,0,0,6,0,0,1881,0,0,48,238,0,59,0,0,67,356,2,78.1,18181,261,1.3,93,869,565,853,0,1508,110,276,9,9,1.4,19,1254,0,452,711,29,0.23,2.45,0.06,0.37,0.7,0,0,0,0,1.4,0,0,0,0.3,915,0,54,358,398,422,530,636,0,59,274,0,58,9,750,5.29,2,0,0,0,0,819,665,0,57,4,387,0,0.3,0,35,0.9,1723,0.5,70,0,2816
"魚貝類","樣品基本資料","J0413901","大目鮪","大目仔,大眼鮪,大目串,短墩,串仔(澎湖),短鮪","Tuna; Bigeye tunny; Big eye tunny; Big-eye tunny; Coffrey; Bigeye tuna fish; Big-eye tuna; Bigeye tuna; Bigeye; Big eye; Big eye tuna; Bigeyed tuna; Bigeye Tuna","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",62.7,0,0.51,0.51,0,0,0,0,0,1313,0,1,103,0,0,0,0,0,0,0,0,2126,0,0,9,52,0,7,0,0,24,5,0,74.5,22230,16,1.6,103,985,669,1025,0,1775,15,331,6,6,0.1,23.9,1386,0,1582,822,20,0.22,6.93,0.14,0.55,0.7,0,0,0,0,0.51,0,0,0,0,1157,0,1,462,40,79,21,722,0,60,323,0,9,0,1001,11.24,2,0,0,0,0,995,808,0,41,3,441,0,0.5,0,42,2.4,2018,0,0,0,3060
"魚貝類","樣品基本資料","J0404404","日本花鱸((11月)","七星鱸,花鱸,青鱸,鱸魚,日本真鱸","Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",60,0,0.54,0.54,0,0,0,0.02,0,1064,0,137,99,0,4,0,0,5,11,0,0,1808,0,0,22,99,0,73,1,0,135,270,14,77,16964,353,1.1,99,910,560,804,0,1446,39,200,49,49,1.3,20.5,1022,0,395,699,165,0.1,1.53,0.15,0.11,0.5,0,0,0,0,0.56,0,0,0,0.1,827,0,51,146,520,379,371,519,0,61,224,11,21,2,724,3.45,6.5,0,0,0,0,786,617,0,64,27,395,0,0.5,0,35,0.3,1627,0.4,22,0,2786
"魚貝類","樣品基本資料","J0404405","日本花鱸((12月)","七星鱸,花鱸,青鱸,鱸魚,日本真鱸","Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",56.5,0,0.3,0.32,0,0.02,0,0.05,0.01,1132,0,251,101,0,5,0,0,6,12,0,0,1943,0,0,29,137,0,88,0,0,180,407,30,76.9,18450,519,1.2,101,1043,569,885,0,1554,60,222,59,59,1.9,19.6,1116,0,857,779,196,0.06,1.32,0.12,0.12,0.7,0,0,0,0,0.38,0,0,0,0.4,891,0,60,116,751,572,538,610,0,54,144,16,25,0,744,4.05,6.8,0,0,0,0,861,689,0,78,25,414,0,0.6,0,33,0.4,1584,0.5,36,0,2933
"蔬菜類","樣品基本資料","E6100101","絲瓜花","菜瓜花","Vegetable sponge flower","生鮮,混合均勻打碎",NA,0,0,0,1520,0,1130,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1,31,0,0,0,0,0,0,86,0,315,0.3,3.9,0,0,0,0,3150,1.49,0,0.16,0,35,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,6,65,320,0,0.6,0,37,0.9,0,0,0,0,0
"穀物類","樣品基本資料","A0351501","菠菜條","","Noodle: spinach flavored","生,乾麵條,混合均勻打碎(小麥粉,菠菜,澱粉等)",NA,0,0.03,0.05,0,0.04,14,0,0.01,388,0,712,351,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,255,34,11.5,13249,200,1.1,356,442,128,459,0,948,18,115,0,2,1.2,11.8,450,0,262,610,23,0.11,0,0.02,0.12,8,0,0,0,0,0.08,0,0,0,74.4,527,0,0,433,200,747,273,1675,2.5,0,99,0,0,0,680,0.95,37.1,0,0,0,0,345,360,0,310,4,130,0,0.7,0,29,1,259,0.3,0,0,4679
"蔬菜類","樣品基本資料","E3201001","油菜心","油菜花(苔),油菜花苔,苔芥,苔菜,油菜嬰","","生鮮,混合均勻打碎",NA,0,0,0,30,0,8520,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,0,0,0.9,31,0,0,0,0,0,0,57,0,1423,0.8,3.2,0,0,0,0,14224,0.04,0,0.33,0.01,93,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,21,92,240,0,0.5,0,23,1.8,0,0,0,0,0
"魚貝類","樣品基本資料","J0403107","鯔(12月,雌魚)","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)","Sea mullet; River mullet; Springer; Striped mullet; Common grey mullet; Common mullet; Black mullet; Bright mullet; Black true mullet; Bully mullet; Callifaver mullet; Flathead grey mullet; Mullet;","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(不含魚卵)",41,0,0.41,0.42,0,0,0,0.06,0.03,1355,0,1677,149,0,0,0,0,0,26,0,0,2180,0,0,81,153,0,71,0,0,451,1422,201,70.5,21410,1612,1.2,149,1094,581,1018,0,1809,156,222,0,0,6.2,21.8,1335,0,991,902,0,0.01,3.35,0.13,0.27,0.7,0,0,0,0,0.5,0,0,0,0.2,1102,0,171,164,2211,2250,1759,802,0,64,331,55,42,11,889,5.92,6.9,0,0,0,0,991,819,0,37,7,398,0,0.5,0,27,2.5,1757,1.8,92,0,3291
"蔬菜類","樣品基本資料","E9900401","厥子","","Fern bud","生鮮,混合均勻打碎",NA,0,0,0,30,0,1230,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0.6,23,0,0,0,0,0,0,65,0,208,0.2,2.3,0,0,0,0,2075,0,0,0.1,0.03,2,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,3,11,320,0,1.4,0,20,0.9,0,0,0,0,0
"蔬菜類","樣品基本資料","E9900601","龍延草","","","生鮮,混合均勻打碎",NA,0,0,0,455,0,5350,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.7,0,0,3.4,79,0,0,0,0,0,0,123,0,930,2.3,3.9,0,0,0,0,9295,0.05,0,0.26,0.03,30.1,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,22,424,780,0,1.9,0,140,7.5,0,0,0,0,0
"水果類","樣品基本資料","D0430101","百香果汁","時計果汁,西番果汁,西番蓮汁,美里瓜汁","Passion fruit juice","生鮮,取內容物,混合均勻打碎,再去除粗籽",57.7,0,0.29,0.34,0,0.1,206,0.02,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6,0,0,0.6,73,0,0,0,0,0,0,27,0,34,0.4,0.9,0,0,0,0,343,0,0,0.11,0.31,18.5,0,0,0,0,0.41,0,0,0,18.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,1,5,239,0,0.6,0,16,0.6,0,0,0,0,0
"魚貝類","樣品基本資料","J0402101","銀魚","水晶魚,小銀魚","Silver fish","生,混合均勻打碎",NA,0,2.1,2.1,0,0,0,0,0,740,0,49,69,0,6,0,0,5,19,0,0,1174,0,0,15,68,0,205,2,0,61,148,56,82.7,11012,134,1.1,69,679,368,493,0,922,19,217,42,42,0.9,14.3,640,0,252,493,141,0.05,1.19,0.06,0.07,0.1,0,0,0,0,2.1,0,0,0,0.9,539,1,17,101,196,495,197,461,0,179,53,0,83,0,457,0.62,9.9,0,0,0,0,537,377,0,56,274,85,0,1.1,0,289,0,926,0.2,0,0,1805
