"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","P/M/S","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","丙胺酸(Ala)","乳糖","亞麻油酸(18:2)","修正熱量","其他脂肪酸","十七酸(17:0)","十三酸(13:0)","十九酸(19:0)","十五酸(15:0)","十八碳四烯酸(18:4)","半乳糖","反式脂肪","天門冬胺酸(Asp)","山酸(22:0)","己酸(6:0)","廿二碳五烯酸(22:5)","廿二碳六烯酸(22:6)","廿四酸(24:0)","廿碳五烯酸(20:5)","月桂酸(12:0)","果糖","棕櫚烯酸(16:1)","棕櫚酸(16:0)","次亞麻油酸(18:3)","水分","水解胺基酸總量","油酸(18:1)","灰分","熱量","甘胺酸(Gly)","甲硫胺酸(Met)","異白胺酸(Ile)","癸酸(10:0)","白胺酸(Leu)","硬脂酸(18:0)","磷","視網醇","視網醇當量(RE)","粗脂肪","粗蛋白","精胺酸(Arg)","糖質總量","組胺酸(His)","絲胺酸(Ser)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","總碳水化合物","纈胺酸(Val)","肉豆蔻烯酸(14:1)","肉豆蔻酸(14:0)","胱胺酸(Cys)","脂肪酸M總量","脂肪酸P總量","脂肪酸S總量","脯胺酸(Pro)","膳食纖維","膽固醇","色胺酸(Trp)","芥子酸(22:1)","花生油酸(20:4)","花生酸(20:0)","苯丙胺酸(Phe)","菸鹼素","葉酸","葡萄糖","蔗糖","辛酸(8:0)","酒精含量","酥胺酸(Thr)","酪胺酸(Tyr)","酪酸(4:0)","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵","離胺酸(Lys)","飽和脂肪","鱈烯酸(20:1)","麥芽糖","麩胺酸(Glu)"
"蔬菜類","樣品平均值","E17002","綠蘆筍平均值","野天門冬,松葉土當歸,石刁柏,龍鬚菜","Asparagus, Spargel, Asperge, Gardon asparagus","生鮮,去皮及粗莖,數支混合均勻打碎",22.4,0,0.45,0.47,0,0.02,340,0.07,0.02,101,0,11,20,0,0,0,0,0,0,0,0,456,7,0,0,0,12,0,0,1,0,116,6,93,1859,7,0.7,22,83,23,66,0,103,6,52,0,57,0.2,2.7,113,1.7,44,107,567,0.1,0,0.11,0.09,12.8,0,0,0,0,0.56,31.54,0,0,3.5,100,0,1,17,7,18,144,68,1.2,0,14,0,0,1,67,1.06,31,0.7,0,0,0,68,49,0,4,79,264,0.067,0.8,0.149,15,1.1,101,0.1,0,0,277
"魚貝類","樣品基本資料","J0400602","魩仔魚(加工,小)","魩仔","Anchovy","熟,混合均勻打碎",NA,0,1.79,1.79,0,0,0,0.01,0,1508,0,19,151,0,16,0,0,15,23,0,0,2498,3,0,22,587,7,234,2,0,126,259,20,55,23611,156,10.6,151,1282,768,1076,13,1979,69,613,137,137,1.7,31.8,1455,0,713,1034,456,0.01,3.2,0.05,0.05,0,0,0,0,0,1.8,0,0,0,0.9,1202,0,81,250,282,914,483,923,0,337,238,0,10,12,1006,7.33,42.6,0,0,7,0,1142,914,0,2830,458,532,0,2.6,0,158,1,1975,0.5,0,0,3649
"魚貝類","樣品基本資料","J0400902","日本銀帶鯡魚干(丁香魚脯)","針嘴鰮,丁香魚,魩仔,丁香,鱙仔,灰海荷鰮","Silver stripe round herring","熟,乾貨,混合均勻打碎",0,0,0.53,0.53,0,0,0,0,0,2716,0,92,275,134,139,0,0,45,46,0,0,4427,39,0,82,933,50,300,14,0,385,1808,56,30.1,41401,484,10.5,275,2457,1287,1832,0,3338,658,1606,0,0,6,51.8,2445,0.1,1741,1761,0,0.1,18.16,0.17,0.35,0,0,114.5,4579.84,114.5,0.53,0,0,0,1.7,2094,0,548,387,889,1606,3348,1718,0,450,210,0,97,44,1727,15.03,66.4,0.1,0,3,0,1924,1479,0,1276,1723,856,0,5.9,0,183,5.7,3576,3.3,21,0,6279
"魚貝類","樣品基本資料","J0700301","鮸魚卵(加工)","","Brown croaker roe","熟,混合均勻打碎",NA,0,0.59,0.59,0,0,0,0,0,1487,0,121,184,0,21,0,0,50,323,0,0,1680,0,0,150,1370,0,682,4,0,680,1769,48,61.6,19855,3521,2.8,184,678,581,1102,0,1863,210,344,26,26,10.1,21.9,1121,0,518,1219,86,0.11,8.91,0.32,0.25,0,0,0,0,0,0.59,0,0,0,3.6,1156,7,319,281,4583,2917,2374,1049,0,643,168,20,223,0,914,0.97,34.8,0,0,0,0,1050,891,0,150,41,221,0,2.9,0,13,1.5,1500,2.4,354,0,2595
"魚貝類","樣品基本資料","J3500401","泡魷魚","","Squid","生,混合均勻打碎",NA,0,1.8,1.8,0,0,0,0.03,0,632,0,0,50,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,84.6,11160,0,0.9,50,754,357,515,0,907,0,134,4,4,0.2,11.3,877,0,327,513,14,0.01,1.86,0.02,0,0,0,0,0,0,1.83,0,0,0,3,450,0,0,144,0,0,0,452,0,270,181,0,0,0,450,0.42,13.3,0,0,0,0,513,411,0,239,31,40,0,0.9,0,34,0,797,0,0,0,1698
"澱粉類","樣品基本資料","B0500102","芋頭(2021年取樣)","芋頭,芋艿,芋乃,芋仔,青芋,土芝","Taro","生鮮，去皮混合均質",18.7,0,0.97,0.98,0,0.02,23,0,0,61,0,0,103,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0.4,0,0,0,73.1,977,0,0.9,107,56,5,36,0,81,0,49,0,4,0,1.1,65,1.6,23,59,38,0.1,0,0,0,7.5,0,0,0,0,1,2.43,0,0,24.8,54,0,0,15,0,0,0,42,1.7,0,11,0,0,0,59,1,17.4,0.5,0.7,0,0,39,49,0,0,20,326,0.185,1.3,0.292,29,0.5,52,0,0,0,113
"魚貝類","樣品基本資料","J0412003","台灣鯛魚片(生)(2021年)","","Tilapia","生,冷凍包裝,混合均勻打碎(冷凍鮮魚片)",0,0,0.67,0.71,0,0.02,0,0.27,0.01,1115,0,526,109,111,7,0,0,5,0,0,26.32,1761,5,0,59,32,2,6,110,0,176,804,69,76,16989,1225,0.9,109,966,420,803,3,1494,184,127,3,3,3.7,17.9,1089,0.1,427,669,12,0.03,1.56,0,0.16,0,0,0,0,0,0.97,0,0,0,1.5,863,8,197,147,1460,765,1323,583,0,69,172,0,73,8,751,2.71,10.8,0.1,0,0,0,723,607,0,31,7,270,0.02,0.6,0.017,25,0,1677,1.3,51,0,2724
"調味料及香辛料類","樣品基本資料","P1400102","液體奶精(2021年)","奶精,奶油球","Liquid creamer","混合均質(精緻油(椰子油、棕櫚油)、奶油、奶粉、砂糖等)",0,0,2.21,2.33,0,0.14,0,0.44,0.03,74,0.9,1783,242,0,17,0,0,0,0,0,96.07,160,16,45,0,0,15,0,3704,0,27,7687,35,69.1,2344,6655,0.5,242,44,37,113,459,226,1286,84,0,0,24,2.2,85,2.4,63,127,0,0,0,0.06,0,0,0,0,0,0,2.83,0,0,0,4.2,146,0,1652,8,6751,1818,15474,246,0.1,0,0,68,0,0,115,0,3.9,0,1.6,593,0,89,126,0,122,15,70,0.006,0,0.004,3,0,182,15.5,0,0,503
"魚貝類","樣品基本資料","J0410101","黑棘鯛(去皮)","黑鯛,烏格,黑格,厚唇,烏毛,烏鱠,黑頰(澎湖)","Black sea bream; Blackhead seabream; Black porgy","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",59.6,0,0.82,0.82,0,0,0,0.04,0.01,1195,0,525,136,0,11,0,0,12,45,0,0,1927,8,0,122,406,0,284,3,0,411,1091,109,72.4,18536,1873,1.3,136,895,586,940,0,1591,242,221,11,11,5.5,20.3,1160,0,464,794,37,0.09,4.66,0.15,0.26,2.2,0,0,0,0,0.87,0,0,0,0.6,976,12,198,168,2384,1557,1565,619,0,69,226,18,66,0,817,4.02,5,0,0,0,0,858,691,0,46,9,466,0,0.9,0,25,1,1810,1.6,70,0,2818
"魚貝類","樣品基本資料","J0402501","麥奇鈎吻鮭(去皮)","鱒魚,虹鱒,麥奇鉤吻鱒","Rainbow trout","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",50.6,0,2.48,2.49,0,0.01,0,0.05,0.02,1141,0,982,160,0,24,0,0,28,56,0,0,1840,9,0,138,812,0,286,3,0,559,1616,160,71.1,18086,2146,1.3,160,832,603,900,0,1523,410,176,54,54,7.8,20.9,1116,0,523,760,181,0.15,3.51,0.07,0.41,1.7,0,0,0,0,2.56,0,0,0,0,1009,5,286,171,2913,2543,2390,601,0,64,253,26,109,13,864,5.81,8.3,0,0,0,0,851,680,0,48,7,405,0,1.3,0,20,0.9,1762,2.4,177,0,2654
