"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","磷","視網醇","視網醇當量(RE)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","菸鹼素","葉酸","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵"
"加工調理食品及其他類","樣品基本資料","R5200301","條狀肉乾(豬肉)","豬肉乾,豬肉干","Pork: striped, dried","熟,豬肉乾,混合均勻打碎(豬肉,醬油,砂糖,食品添加物等)",NA,0.32,0.33,0,0,0,0.11,0.03,474,1,1,5,0.74,1.04,0.21,0.83,3.9,0,0,0,0,0.46,0,0,0,7.97,9.7,1325,8,863,0,4.1,0,65,2.5
"魚貝類","樣品基本資料","J0414810","鯖魚(蒸)","","Mackerel","熟,去鱗,含皮,去骨刺及內臟,以100℃蒸10分鐘",NA,0.72,0.72,0,0,0,0.02,0,211,142,142,472,0.2,6.86,0.34,0.24,0,0,0,0,0,0.74,0,0,0,5.7,6,52,5,235,0,0.9,0,22,1.5
"調味料及香辛料類","樣品基本資料","P1500101","炸排粉","","","混合均勻(麵包粉,小麥粉,澱粉,鹽,味精等)",NA,0.85,1.06,0,0.31,0,0.59,0,91,0,0,0,0.09,0,0.06,0.11,0,0,0,0,0,1.75,0,0,0,0.8,24.2,2927,18,125,0,0.7,0,34,1.7
"調味料及香辛料類","樣品基本資料","P1500201","炸雞粉","","","混合均勻(麵粉,澱粉,糖,鹽,胡椒等)",NA,1.23,1.3,0,0,41,0.67,0,144,0,7,68,0.13,0,0.08,0.15,0,0,0,0,0,1.9,0,0,0,2.73,25.9,3790,19,220,0,0.8,0,61,2.7
"飲料類","樣品基本資料","O0702701","多多綠茶(全糖)","","","現調飲料,混合均勻(綠茶,發酵乳,糖等)",NA,0,0,0,0,0,0,0,7,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,23.1,10,10,23,0,0.1,0,2,0
"調味料及香辛料類","樣品基本資料","P1000101","干貝醬","XO醬","","混合均勻打碎(干貝,小卷燒,丁香,火腿,紅辣椒,糖,鹽,植物油,麻油,紅蔥頭,蒜頭酥,沙茶醬,乾蝦等",NA,5.02,7.47,0,0,185,23.27,4.31,196,12,43,349,0.03,0.93,0.09,0.3,3.2,0,0,0,0,32.6,0,0,0,1.8,7,1109,116,203,0,1.4,0,54,2.5
"菇類","樣品基本資料","G1500101","蠔菇","平菇,日本蠔菇,糙皮側耳,黑牡丹菇,黑美人菇,人工口蘑(囊狀側耳)","Obalonus; Cystidiate Pleurotus; The Abalone Mushroom","生鮮,中溫系,混合均勻打碎",0,0,0,0,0,0,0,0,73,0,0,0,0.04,0,0.18,0.23,0.4,0,0,0,0,0,0,0,0,2.02,18.8,10,2,334,0,0.8,0,14,0.9
"蔬菜類","樣品基本資料","E2100301","蒜苗","蒜黃","","生鮮,去頭尾,混合均勻打碎",16.4,0.18,0.18,0,0,0,0.04,0,52,0,0,0,0.11,0,0.07,0.6,27.5,0,0,0,0,0.22,0,0,0,0.41,0,9,20,198,0,0.4,0,9,0.5
"蔬菜類","樣品基本資料","E3200702","水植小白菜(4月取樣)","白菜,青菜,散葉白菜,無心菜,菘,不結球白菜,土白菜","Pak-choi,","生鮮,小白菜,去蒂頭,混合均勻打碎",NA,0.74,0.75,0,0,222,0.05,0.01,26,0,37,370,0.03,0,0.06,0.09,23,0,0,0,0,0.8,0,0,0,0.8,0,11,66,324,0,0.2,0,34,0.9
"乳品類","樣品基本資料","L0118101","脫脂強化鮮乳(鈣強化)","牛乳,牛奶","Skimmed fortified fresh milk : calcium enriched","脫脂(<0.5%)強化鮮乳,混合均勻(脫脂生乳等)",NA,0.01,0.01,0,0,0,0,0,149,2,2,7,0.03,0.27,0.36,0.03,2,0,0,0,0,0.01,0,0,0,0,2,49,150,182,0,0.3,0,11,0
