"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","磷","視網醇","視網醇當量(RE)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","菸鹼素","葉酸","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵"
"加工調理食品及其他類","樣品基本資料","R2300301","冷凍芋泥包","","Taro paste bun","冷凍包裝,混合均勻打碎(麵粉,芋頭等)",0,0.52,0.76,0,0.28,4,0.91,0.4,223,0,1,6,0.06,0,0.06,0.07,0,0,0,0,0,2.1,0,0,0,0.56,22.8,46,16,130,0,0.7,0,18,0.5
"加工調理食品及其他類","樣品基本資料","R2300501","冷凍芝麻包","","Sesame bun","冷凍包裝,混合均勻打碎(麵粉,芝麻粉等)",NA,0.78,12.68,0,23.5,0,1.41,0.14,321,0,0,0,0.05,0,0.07,0.02,1.3,0,0,0,0,25.83,0,0,0,0.7,0,24,4,139,0,0.7,0,20,1.1
"加工調理食品及其他類","樣品基本資料","R2100401","擔仔麵","","","熟食,加肉燥不含湯,混合均勻打碎",NA,0.13,0.17,0,0.01,0,0.38,0.05,31,3,3,10,0.03,0.33,0.07,0.12,0,0,0,0,0,0.57,0,0,0,0.7,9,312,6,83,0,0.4,0,12,1.3
"堅果及種子類","樣品基本資料","C2300101","生鮮蓮子","","Lotus nut; Lotus seed","生鮮,混合均勻打碎(蓮子,蓮子心等)",NA,0.16,0.21,0,0.04,0,0.39,0,290,0,0,0,0.05,0,0.02,0.07,2.3,0,0,0,0,0.58,0,0,0,0.4,24.6,119,69,305,0,1.2,0,99,5.1
"糕餅點心類","樣品基本資料","Q4200201","洋芋片","","Potato chips","熟食,混合均勻打碎",NA,12.05,12.47,0,0,0,4.07,0.45,137,0,0,0,0.23,0,0.03,0.54,0,0,0,0,0,16.57,0,0,0,2.3,7,383,17,817,0,0.5,0,57,1.7
"糕餅點心類","樣品基本資料","Q0700201","泡芙(巧克力)","","Chocolate puff","熟食,混合均勻打碎(麵粉,雞蛋等)",NA,3.26,3.46,0,0,14,1.9,0.18,252,202,204,697,0.1,0.06,0.41,0.11,0,0,0,0,0,5.34,0,0,0,0.4,16,146,167,332,0,1.4,0,46,1.6
"加工調理食品及其他類","樣品基本資料","R2100201","泡麵(牛肉口味)","","Instant noodle","混合均勻打碎(麵粉,調味料等)",0,2.55,2.93,20,0.23,165,2.41,0.92,115,0,29,292,0.24,0.17,0.13,0.2,0,0,0,0,0,6.11,0,0,0,0.7,9,2077,13,186,0,0.8,0,30,1.6
"加工調理食品及其他類","樣品基本資料","R2700201","冷凍蔥油餅","蔥油派","","冷凍包裝,混合均勻打碎(麵粉,蔥,雞蛋等)",0,0.17,0.2,0,0.01,24,0.3,0.02,91,1,5,44,0.08,0.19,0.05,0.1,0.3,0,0,0,0,0.5,0,0,0,0.63,18.5,602,8,88,0,0.5,0,21,1.3
"加工調理食品及其他類","樣品基本資料","R2200301","冷凍豬肉韭菜水餃","","Dumpling: pork and leek","冷凍包裝,混合均勻打碎(麵粉,鮮肉,蔬菜等)",NA,0.01,0.22,0,0.41,0,0.02,0,70,10,10,33,0.14,0.5,0.11,0.09,0.4,0,0,0,0,0.44,0,0,0,3.2,0,439,18,154,0,0.6,0,17,0.7
"堅果及種子類","樣品基本資料","C2350101","糖漬蓮子","","Lotus nut; Lotus seed","熟,混合均勻打碎(蓮子,糖等)",NA,0.3,0.36,0,0,0,0.57,0.02,200,0,0,0,0.01,0,0.11,0.11,0.4,0,0,0,0,0.89,0,0,0,0.47,33.3,11,54,155,0,1,0,72,1.1
"加工調理食品及其他類","樣品基本資料","R2600201","冷凍披薩(黑胡椒火腿)","","Pizza","冷凍包裝,混合均勻打碎(麵粉,奶油等)",NA,0.76,0.92,65,0.17,233,0.66,0.15,253,70,114,675,0.14,0.26,0.17,0.22,0,0,0,0,0,1.74,0,0,0,1.01,48,405,32,240,0,1,0,20,0.5
"加工調理食品及其他類","樣品基本資料","R2200401","冷凍豬肉蟹黃水餃","","Dumpling","冷凍包裝,混合均勻打碎(豬肉,麵粉等)",NA,0.27,0.42,0,0.07,4,1.09,0.28,135,5,6,24,0.14,0.27,0.05,0.12,0,0,0,0,0,1.71,0,0,0,1.03,28.1,472,8,119,0,0.7,0,22,0.6
"糕餅點心類","樣品基本資料","Q6400501","薑糖","","Candy","混合均勻打碎(蔗糖,麥芽糖,生薑等)",NA,0.25,0.25,0,0,0,0,0,19,0,0,0,0,0,0.04,0,0,0,0,0,0,0.25,0,0,0,0,4.7,93,1,95,0,0.3,0,10,0.8
"糕餅點心類","樣品基本資料","Q6900301","紅豆球","","","混合均勻打碎(紅豆,麥芽,砂糖等)",NA,0.13,0.2,0,0.01,0,0.61,0.05,103,0,0,0,0,0,0.07,0.33,0,0,0,0,0,0.8,0,0,0,0.52,38.1,13,13,354,0,1.3,0,40,3.1
"糕餅點心類","樣品基本資料","Q6900401","綠豆球","","","混合均勻打碎(綠豆,麥芽,砂糖等)",NA,0.1,0.22,0,0.04,0,0.98,0,102,0,0,0,0.01,0,0.09,0.64,0,0,0,0,0,1.12,0,0,0,0.46,44.6,16,14,345,0,0.9,0,48,3.2
"加工調理食品及其他類","樣品基本資料","R2200701","冷凍鮪魚水餃","","Dumpling: tuna","冷凍包裝,混合均勻打碎(麵粉,鮪魚,豬肉等)",NA,0.18,0.4,0,0.06,0,1.58,0.97,102,10,10,34,0.09,0.45,0.04,0.25,0,0,0,0,0,2.79,0,0,0,3.25,11.2,275,7,175,0,0.5,0,22,0.8
"堅果及種子類","樣品基本資料","C1710201","鹽酥帶殼花生(熟)","土豆,長生果,落花生","Peanut with shell","熟,混合均勻打碎(帶殼花生,鹽等)",33.7,1.64,2.13,0,0.65,0,1.6,0.11,423,0,0,0,0.58,0,0.15,0.35,0,0,0,0,0,4,0,0,0,15.43,120.9,319,78,681,0,3.5,0,251,2.7
"調味料及香辛料類","樣品基本資料","P1000501","義式乳酪醬","","","混合均勻(保久乳,乳酪,鮮奶油,麵粉,奶油,調味料,牛奶鈣, nisin,乳化安定劑等)",NA,0.49,0.49,0,0,81,0,0,307,177,190,724,0.07,0.47,0.4,0.01,0,0,0,0,0,0.49,0,0,0,0.51,8.9,403,499,117,0,1.8,0,21,0.3
"調味料及香辛料類","樣品基本資料","P1301101","法式香蒜醬","","","麵包醬,混合均勻(奶油,蒜,荷蘭芹,調味料等)",NA,4.94,6.09,0,0.19,492,10,1.67,19,0,82,820,0.01,0.02,0,0.11,0,0,0,0,0,16.81,0,0,0,0.18,0.8,477,9,58,0,0.2,0,4,0.3
"魚貝類","樣品基本資料","J3100801","台灣蜆","蜆(蜊/拉)仔,河蜆","Corbicula Clam; Freshwater Clam; Taiwanese freshwater clam","生,去殼,混合均勻打碎",75,0.96,0.96,0,0,0,0,0,137,48,48,161,0.01,84.16,0.4,0.1,9.9,0,0,0,0,0.96,0,0,0,1.97,32.3,20,58,57,0,1.5,0,14,2.4
"魚貝類","樣品基本資料","J5100101","海蜇皮","瑝魚,海蛇,紅(面)蜇,鮓魚","Jelly fish","生,濕貨,混合均勻打碎",NA,0.02,0.02,0,0,0,0,0,55,0,0,0,0,1.43,0.01,0,9.8,0,0,0,0,0.02,0,0,0,0.05,4.6,8127,31,153,0,1.2,0,163,2.6
"澱粉類","樣品基本資料","B0400301","芋心甘薯","甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯","Sweet potato","生鮮,芋心種,去皮,混合均勻打碎",14.5,0.14,0.14,0,0.01,0,0.01,0,45,0,0,0,0.02,0,0.04,0.12,20.1,0,0,0,0,0.16,0,0,0,0.5,17.3,87,33,272,0,0.3,0,22,1.1
"蔬菜類","樣品基本資料","E9300101","過溝菜蕨","過貓(溝),過貓(溝)菜,蕨山貓,食用雙囊蕨","Common bracken","生鮮,混合均勻打碎",NA,0.34,0.39,0,0.09,1051,0.02,0.04,70,0,175,1752,0,0,0.05,0.07,0.1,0,0,0,0,0.49,0,0,0,2.1,0,6,17,347,0,0.9,0,29,1.4
"蔬菜類","樣品基本資料","E3850101","梅乾菜","","","鹽漬發酵,混合均勻打碎",NA,3.57,3.76,0,0.35,4301,0.12,0.03,70,0,717,7169,0.03,0,0.15,0.24,0,0,0,0,0,4.07,0,0,0,0.88,0,11555,381,820,0,1.7,0,59,35.6
"蔬菜類","樣品基本資料","E7100101","黃櫛瓜","","Zucchini","生鮮,去頭尾,混合均勻打碎",6.7,0.11,0.17,0,0.1,0,0.06,0.01,41,0,0,0,0.04,0,0.05,0.08,16.3,0,0,0,0,0.28,0,0,0,0.33,9.5,0,25,365,0,0.4,0,18,0.6
"魚貝類","樣品基本資料","J0413401","鋸尾鯛","黑豬哥,黑將軍,打鐵婆,剝皮仔,老娘(澎湖)","Scalpel sawtail","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",60.9,1.4,1.4,0,0,0,0,0,276,9,9,29,0.23,2.45,0.06,0.37,0.7,0,0,0,0,1.4,0,0,0,5.29,2,57,4,387,0,0.3,0,35,0.9
"魚貝類","樣品基本資料","J0413901","大目鮪","大目仔,大眼鮪,大目串,短墩,串仔(澎湖),短鮪","Tuna; Bigeye tunny; Big eye tunny; Big-eye tunny; Coffrey; Bigeye tuna fish; Big-eye tuna; Bigeye tuna; Bigeye; Big eye; Big eye tuna; Bigeyed tuna; Bigeye Tuna","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",62.7,0.51,0.51,0,0,0,0,0,331,6,6,20,0.22,6.93,0.14,0.55,0.7,0,0,0,0,0.51,0,0,0,11.24,2,41,3,441,0,0.5,0,42,2.4
"魚貝類","樣品基本資料","J0404404","日本花鱸((11月)","七星鱸,花鱸,青鱸,鱸魚,日本真鱸","Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",60,0.54,0.54,0,0,0,0.02,0,200,49,49,165,0.1,1.53,0.15,0.11,0.5,0,0,0,0,0.56,0,0,0,3.45,6.5,64,27,395,0,0.5,0,35,0.3
"魚貝類","樣品基本資料","J0404405","日本花鱸((12月)","七星鱸,花鱸,青鱸,鱸魚,日本真鱸","Perch; Sea bass; Japanese seaperch; Japanese sea bass; Japan sea bass","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",56.5,0.3,0.32,0,0.02,0,0.05,0.01,222,59,59,196,0.06,1.32,0.12,0.12,0.7,0,0,0,0,0.38,0,0,0,4.05,6.8,78,25,414,0,0.6,0,33,0.4
"蔬菜類","樣品基本資料","E6100101","絲瓜花","菜瓜花","Vegetable sponge flower","生鮮,混合均勻打碎",NA,0,0,1520,0,1130,0,0,86,0,315,3150,1.49,0,0.16,0,35,0,0,0,0,0,0,0,0,0.2,0,6,65,320,0,0.6,0,37,0.9
"穀物類","樣品基本資料","A0351501","菠菜條","","Noodle: spinach flavored","生,乾麵條,混合均勻打碎(小麥粉,菠菜,澱粉等)",NA,0.03,0.05,0,0.04,14,0,0.01,115,0,2,23,0.11,0,0.02,0.12,8,0,0,0,0,0.08,0,0,0,0.95,37.1,310,4,130,0,0.7,0,29,1
"蔬菜類","樣品基本資料","E3201001","油菜心","油菜花(苔),油菜花苔,苔芥,苔菜,油菜嬰","","生鮮,混合均勻打碎",NA,0,0,30,0,8520,0,0,57,0,1423,14224,0.04,0,0.33,0.01,93,0,0,0,0,0,0,0,0,0.8,0,21,92,240,0,0.5,0,23,1.8
"魚貝類","樣品基本資料","J0403107","鯔(12月,雌魚)","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)","Sea mullet; River mullet; Springer; Striped mullet; Common grey mullet; Common mullet; Black mullet; Bright mullet; Black true mullet; Bully mullet; Callifaver mullet; Flathead grey mullet; Mullet;","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(不含魚卵)",41,0.41,0.42,0,0,0,0.06,0.03,222,0,0,0,0.01,3.35,0.13,0.27,0.7,0,0,0,0,0.5,0,0,0,5.92,6.9,37,7,398,0,0.5,0,27,2.5
"蔬菜類","樣品基本資料","E9900401","厥子","","Fern bud","生鮮,混合均勻打碎",NA,0,0,30,0,1230,0,0,65,0,208,2075,0,0,0.1,0.03,2,0,0,0,0,0,0,0,0,2.4,0,3,11,320,0,1.4,0,20,0.9
"蔬菜類","樣品基本資料","E9900601","龍延草","","","生鮮,混合均勻打碎",NA,0,0,455,0,5350,0,0,123,0,930,9295,0.05,0,0.26,0.03,30.1,0,0,0,0,0,0,0,0,0.84,0,22,424,780,0,1.9,0,140,7.5
"水果類","樣品基本資料","D0430101","百香果汁","時計果汁,西番果汁,西番蓮汁,美里瓜汁","Passion fruit juice","生鮮,取內容物,混合均勻打碎,再去除粗籽",57.7,0.29,0.34,0,0.1,206,0.02,0,27,0,34,343,0,0,0.11,0.31,18.5,0,0,0,0,0.41,0,0,0,0.16,0,1,5,239,0,0.6,0,16,0.6
"魚貝類","樣品基本資料","J0402101","銀魚","水晶魚,小銀魚","Silver fish","生,混合均勻打碎",NA,2.1,2.1,0,0,0,0,0,217,42,42,141,0.05,1.19,0.06,0.07,0.1,0,0,0,0,2.1,0,0,0,0.62,9.9,56,274,85,0,1.1,0,289,0
"澱粉類","樣品基本資料","B0400601","黃肉甘薯","甘薯,番薯,甜薯,地瓜,田薯,土薯","Sweet potato","生鮮,黃皮黃肉,去皮,混合均勻打碎",15.5,0.45,0.46,0,0,70,0.04,0.01,42,0,12,116,0.13,0,0.04,0.23,19.8,0,0,0,0,0.5,0,0,0,0.51,14.6,51,46,276,0.013,0.2,0,24,0.3
"魚貝類","樣品基本資料","J0400601","魩仔魚(加工,大)","魩仔","Anchovy","熟,混合均勻打碎",NA,1.29,1.29,0,0,0,0.01,0,199,82,82,275,0.03,0.31,0.12,0,0,0,0,0,0,1.3,0,0,0,0.41,16.5,851,259,50,0,1.4,0,190,0
"魚貝類","樣品基本資料","J0413601","鱗網帶鰆切片","油魚,細鱗仔,玉梭魚,白玉豚","Escolar","生,去皮及骨刺,混合均勻打碎",21.1,4.83,4.83,0,0,0,0.03,0,162,1103,1103,3675,0.02,2.47,0.04,0.6,0.4,0,0,0,0,4.86,0,0,0,12.13,2.9,84,5,268,0,0.8,0,21,0.8
"魚貝類","樣品基本資料","J0402201","白肉鮭魚切片","","Salmon","生,去皮及骨刺,混合均勻打碎",20.7,0.24,0.24,0,0,0,0.02,0,239,7,7,23,0.22,4.9,0.12,0.55,0,0,0,0,0,0.26,0,0,0,8.24,4.2,53,38,410,0,0.7,0,23,0.7
"穀物類","樣品基本資料","A0600201","糯高梁","","Sorghum: glutinous; Kao-lian: glutinous","生,混合均勻磨碎",NA,0.05,0.06,0,0,0,0.08,0,75,0,0,0,0.11,0,0.03,0.07,0,0,0,0,0,0.13,0,0,0,1.1,12.5,0,8,129,0,0.5,0,26,1.3
"菇類","樣品基本資料","G1500201","鮑魚菇","夏季鮑魚菇,高溫平菇,台灣平菇,黑美人菇,人工口蘑(囊狀側耳)","Obalonus; Cystidiate Pleurotus; The Abalone Mushroom","生鮮,高溫系,混合均勻打碎",0,0,0,0,0,0,0,0,16,0,0,0,0.06,0.07,0.16,0.06,0.1,0,0,0,0,0,0,0,0,2.5,13.5,2,1,341,0,0.6,0,13,0.7
"魚貝類","樣品基本資料","J0800201","扁魚干","","Dried roughscale flounder","生,混合均勻打碎",NA,1.51,1.51,0,0,0,0,0,1798,9,9,32,0.18,5.84,0.07,0.6,0,0,0,0,0,1.51,0,0,0,11.01,70.2,406,2804,1011,0,5.2,0,230,2.8
"魚貝類","樣品基本資料","J0707101","鮪魚肚","","Tuna stomach","生,混合均勻打碎",NA,0.48,0.48,0,0,0,0,0,94,6,6,21,0.02,1.16,0.09,0.01,0,0,0,0,0,0.48,0,0,0,0.7,7.2,35,23,18,0,3.7,0,19,4.8
"菇類","樣品基本資料","G2000101","洋菇","西洋蘑菇(蘑菇,雙孢蘑菇)","Mushroom; Button; Champignon","生鮮,混合均勻打碎",0,0,0,0,0,0,0,0,80,0,0,0,0.06,0.09,0.47,0.12,0.2,0,0,0,0,0,0,0,0,3.56,24.4,19,4,262,0.387,0.7,0,9,0.9
"菇類","樣品基本資料","G2000201","冷凍洋菇","西洋蘑菇(蘑菇,雙孢蘑菇)","Marshroom: frozen","生,冷凍包裝,混合均勻打碎",0,0,0,0,0,13,0,0,31,0,2,22,0.01,0,0.19,0.03,0,0,0,0,0,0,0,0,0,0.29,0,8,15,140,0,0.3,0,26,0.4
"魚貝類","樣品基本資料","J0405401","棕點石斑魚","老虎斑,過魚","Tiger grouper; Blotch grouper; Blotchy rockcod; Black-tipped cod; Blotchy grouper; Brown-marbled grouper; Flower cod; Flowery cod; Marble grouper; Grouper","生,去鱗,去皮,去頭尾,去內臟及骨刺,(購買時已去鱗片及內臟)",60,1.28,1.28,0,0,0,0,0,205,6,6,21,0.2,0.03,0.26,0.17,0.7,0,0,0,0,1.28,0,0,0,2.46,8.1,79,13,409,0,0,0,29,0.9
"魚貝類","樣品基本資料","J0409501","青嘴龍占魚","龍尖,龍占,青嘴仔,青嘴/尖嘴仔(澎湖)","Sand snapper; Parrot-fish; North-west snapper; Norwest snapper; Snuppy; Spangled emperor; Scavenger; Red-finned emperor; Pig-faced bream; Tricky snapper; Starry pigface bream; Yellow sweetlip;","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(購買時已去鱗片及內臟)",53.5,2.83,2.83,0,0,0,0,0,473,3,3,12,0.77,1.06,0.14,0.69,0.8,0,0,0,0,2.83,0,0,0,7.8,5.1,87,311,481,0,0.9,0,37,1
"魚貝類","樣品基本資料","J0408901","葉唇笛鯛","厚唇仔,紅魚","Tang's snapper","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",64.1,0.74,0.75,0,0.01,0,0.01,0.01,199,10,10,32,0.05,0.77,0.12,0.17,0.9,0,0,0,0,0.77,0,0,0,1.69,10.9,75,91,302,0,0.5,0,30,0.2
"魚貝類","樣品基本資料","J2101201","藍對蝦","藍蝦","","生,去頭尾及外殼,混合均勻打碎",44.3,2.48,2.52,0,0.02,0,0.28,0.03,205,4,4,13,0.06,1.72,0.07,0.15,0.5,0,0,0,0,2.81,0,0,0,3.85,6.3,135,54,310,0,1.5,0,38,0.1
"豆類","樣品基本資料","H0705102","綠豆","菉豆,綠小豆,輻莢豆","Green bean; Chickasaw","生,乾貨,混合均勻磨碎",NA,0.35,1.45,0,0.14,72,10.08,0.69,372,0,12,120,0.6,0,0.17,0.32,11.8,0,0,0,0,11.27,0,0,0,1.84,414.6,1,108,948,0,2.8,0,172,5.1
"豆類","樣品基本資料","H0710101","綠豆仁","菉豆,綠小豆,輻莢豆","Green bean: skin removed","生,乾貨,去皮綠豆仁,混合均勻打碎",NA,0.02,0.8,0,0.14,27,6.86,0.69,490,0,4,45,0.7,0,0.13,0.4,0.7,0,0,0,0,7.72,0,0,0,1.57,0,1,28,1047,0,3,0,144,4.4
"魚貝類","樣品基本資料","J3101201","菲律賓簾蛤","菲律賓蛤仔,海瓜子(仔)蛤,花蛤","Filipino Venus","生,去外殼,混合均勻打碎",55.6,0.34,0.34,0,0,0,0,0,101,0,0,0,0.01,4.5,0.23,0.07,1,0,0,0,0,0.34,0,0,0,1.63,14.7,442,130,201,0,1,0,62,2.7
"澱粉類","樣品基本資料","B0100204","山藥(大刺)","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)","Chinese yam: Da-Tsyh","生鮮,去皮,混合均勻打碎",16.2,0.19,0.22,0,0.06,0,0.01,0,95,0,0,0,0.18,0,0.01,0.19,5.6,0,0,0,0,0.26,0,0,0,0.67,6.6,8,8,573,0,1.3,0,18,1.1
"魚貝類","樣品基本資料","J0401005","虱目魚(12月)","海草魚,遮目魚,殺目魚,安平魚,國姓魚,麻虱目仔,虱目/麻虱目(澎湖)","Salmon herring; Bangos; Bony salmon; Milkfish; Milk fish","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",50,0.77,0.81,0,0.03,0,0.26,0.04,67,34,34,112,0.17,1.76,0.02,0.57,0.3,0,0,0,0,1.1,0,0,0,6.57,7.2,53,27,352,0,0.7,0,32,0.4
"魚貝類","樣品基本資料","J0401001","虱目魚(2月)","海草魚,遮目魚,殺目魚,安平魚,國姓魚,麻虱目仔,虱目/麻虱目(澎湖)","Salmon herring; Bangos; Bony salmon; Milkfish; Milk fish","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",40.8,0.98,1,0,0.02,0,0.08,0.01,215,74,74,247,0.01,1.97,0.04,0.62,1.2,0,0,0,0,1.09,0,0,0,6.71,5.6,44,21,311,0,1.3,0,31,0.6
"蔬菜類","樣品基本資料","E3201101","油菜","油菜心,胡菜,寒菜,青油菜,苔菜,苔芥,蕓苔,油菜子","Rape; cole","生鮮,混合均勻打碎",NA,0.67,0.69,0,0.03,1851,0.07,0,32,0,309,3085,0.04,0,0.08,0.07,25,0,0,0,0,0.77,0,0,0,0.55,39.4,73,88,220,0.025,0.6,0,16,1
"蔬菜類","樣品基本資料","E8700101","山蘇菜","山蘇花,鳥巢蕨,山翅菜,雀(鳥)巢羊齒,歪頭 菜,巢鐵角蕨,掌草","Asplenium antiguum Mak.","生鮮,混合均勻打碎",NA,0.96,1.08,0,0.24,615,0.03,0.02,51,0,103,1025,0.01,0,0.15,0.15,42.7,0,0,0,0,1.24,0,0,0,2.3,80,5,47,350,0.02,0.8,0,34,0.2
"魚貝類","樣品基本資料","J0403106","鯔(12月,雄魚)","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)","Sea mullet; River mullet; Springer; Striped mullet; Common grey mullet; Common mullet; Black mullet; Bright mullet; Black true mullet; Bully mullet; Callifaver mullet; Flathead grey mullet; Mullet;","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(不含魚精囊)",55,1.4,1.4,0,0,0,0,0,218,2,2,8,0.01,3.7,0.13,0.33,0.9,0,0,0,0,1.4,0,0,0,7.46,8.3,59,9,360,0,0.5,0,28,2.4
"蔬菜類","樣品基本資料","E1400201","冷凍麻竹筍","蔴竹,甜竹,巨竹,坭竹,大綠竹,瓦坭竹,巨麻竹,美濃麻竹,吊絲麻竹","Bamboo shoot: frozen; Bamboo sprout: frozen","混合均勻打碎",NA,0,0,0,0,0,0,0,15,0,0,0,0.01,0,0.02,0.08,0,0,0,0,0,0,0,0,0,0,0,22,12,40,0,0.2,0,7,0.1
"蔬菜類","樣品基本資料","E1800101","嫩莖萵苣","鵝菜心,莖用萵苣,萵(鵝)仔菜心,大心萵(媚)仔菜,萵苣筍(莖),妹仔菜筍,","Stem lettuce; Asparagus lettuce","生鮮,去皮,混合均勻打碎",24.2,0,0,0,0,360,0,0,18,0,60,600,0.03,0,0.01,0,4,0,0,0,0,0,0,0,0,0.7,0,22,16,310,0,0.2,0,16,0.3
"魚貝類","樣品基本資料","J0409904","真鯛(8月)","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚","Red seabream; Red tail; Red porgy; Silver seabream; Red sea bream; Red pargo; Genuine porgy; Japanese seabream; Madai; Japanese porgy","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",60.4,0.69,0.69,0,0,0,0,0,272,18,18,61,0.04,0.6,0.06,0.4,1.7,0,0,0,0,0.69,0,0,0,4.32,0,51,8,451,0,0.5,0,31,0.4
"蔬菜類","樣品基本資料","E9900101","美國空心菜","","U.S.water spinach， ipom(o)ea， water convolvulus","生鮮,混合均勻打碎",NA,0,0,140,0,14050,0,0,37,0,2354,23532,0,0,0.24,0,78,0,0,0,0,0,0,0,0,0.4,0,20,68,300,0,0.3,0,55,1.1
"穀物類","樣品基本資料","A0351801","刀削麵","","Noodle: sliced","生,濕麵條,混合均勻打碎(小麥粉等)",NA,0.41,0.43,0,0.02,0,0.1,0.04,231,0,0,0,0.05,0,0.02,0.23,8.7,0,0,0,0,0.57,0,0,0,0.82,25,226,2,73,0,0.4,0,17,0.5
"蔬菜類","樣品基本資料","E9900201","香芫荽","","","生鮮,去莖部,混合均勻打碎",NA,0,0,2300,0,1500,0,0,47,0,442,4416,0.01,0,0.1,0.04,54,0,0,0,0,0,0,0,0,0.7,0,74,91,230,0,0.7,0,22,2.9
"魚貝類","樣品基本資料","J0414901","旗魚切片","翹翅仔,白肉旗魚,闊胸仔,立翅旗魚,白皮丁挽,白皮旗魚","Short nosed sword fish; Pacific black marlin; Silver marlin; Silver marlin fish; Short-nosed swordfish; Black marlin fish; Black marlin; Giant black marlin; Marlin","生,混合均勻打碎",NA,0.63,0.63,0,0,0,0,0,233,1,1,4,0.05,0.24,0.03,0.65,0.4,0,0,0,0,0.63,0,0,0,14.72,12.1,36,8,333,0,0.7,0,32,1.1
"蔬菜類","樣品基本資料","E0510101","乾百合鱗片","乾百合,乾百合花鱗片,乾蒜腦藷","Dry lily bulb","生,乾貨,混合均勻打碎",NA,0.32,0.34,0,0.03,0,0,0,216,0,0,0,0.03,0,0.01,0.05,0,0,0,0,0,0.35,0,0,0,0.98,0,90,31,1240,0,2.2,0,43,5.2
"藻類","樣品基本資料","F0410101","乾麒麟菜","乾麒麟草,乾海麒麟草,乾海珊湖,乾珊湖藻(草),乾鹹(鹽/神/福)草","","生,乾貨,褐色,混合均勻磨碎",0,0.12,0.22,0,0.03,0,0.78,0.07,6,0,0,0,0.01,0,0.04,0,0,0,0,0,0,1,0,0,0,0.11,4.6,14908,252,567,0,0.3,0,73,3.2
"藻類","樣品基本資料","F0400101","麒麟菜","麒麟草,海麒麟草,海珊湖,珊湖藻(草),鹹(鹽/神/福)草","","生鮮,褐色,混合均勻磨碎",0,0.04,0.04,0,0,0,0,0,42,0,0,0,0.01,0.21,0,0.08,0,0,0,0,0,0.04,0,0,0,0.16,18.9,16,26,62,0,0.5,0,18,0.9
"魚貝類","樣品基本資料","J0416401","低眼無齒芒魚片(芒加魚邊)","","","生,冷凍產品,混合均勻打碎",NA,0.25,0.25,0,0.01,0,0.03,0,170,0,0,1,0.04,0.23,0.04,0.12,0.7,0,0,0,0,0.29,0,0,0,1.51,8,285,8,201,0,0.4,0,19,0.1
"魚貝類","樣品基本資料","J0407001","布氏鯧鰺(去皮)","金槍,金鯧,紅杉,紅沙瓜仔,長鰭黃臘鰺,甘仔魚(臺東),紅紗(澎湖)","Snubnose pompano; Silver pampano; Silver pompano; Snub-nosed dart; Snub-nosed swallowtail; Permit; Snub-nosed dart; Pompio; Ovate pompano; Round pompano; Pompano; Snubnose dart; Spinous dory;","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",56.4,4.4,5.02,0,0.47,0,3.39,1.46,191,214,214,713,0.08,3.03,0.25,0.45,0.8,0,0,0,0,9.73,0,0,0,5.14,9.4,49,21,325,0,1.2,0,25,0.6
"豆類","樣品基本資料","H0450101","紅豆罐頭(糖漬)","小豆,赤小豆,赤豆,通常小豆,小紅豆,紅小豆","Red bean: canned; Rice bean: canned; Small red bean: canned; Adzuki bean: canned","熟,罐頭製品,混合均勻打碎(紅豆,糖等)",NA,0.06,0.26,0,0.07,0,0.97,2.36,120,0,0,0,0.03,0,0.03,0.1,0.3,0,0,0,0,3.46,0,0,0,0.47,0,8,29,216,0,1,0,39,1.9
